"","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT"
"1",1,0,0,0
"13",1,1,0,0
"25",1,2,0,0
"37",1,3,0,0
"49",1,4,0,0
"61",1,5,0,0
"73",1,6,0,0
"85",1,7,0,0
"97",1,8,0.115261958997722,0.0123006833712984
"109",1,9,5.57076994006455,0.91701244813278
"121",1,10,16.2547300415321,4.85832948777111
"133",1,11,25.6323800738007,10.2472324723247
"145",1,12,30.609778597786,14.0567343173432
"157",1,13,30.9114391143911,14.4806273062731
"169",1,14,26.2085832948777,11.3645592985695
"181",1,15,17.6337638376384,6.26522140221402
"193",1,16,6.98939114391144,1.54658671586716
"205",1,17,0.238942088463292,0.032375740994072
"217",1,18,0,0
"229",1,19,0,0
"241",1,20,0,0
"253",1,21,0,0
"265",1,22,0,0
"277",1,23,0,0
"2",2,0,0,0
"14",2,1,0,0
"26",2,2,0,0
"38",2,3,0,0
"50",2,4,0,0
"62",2,5,0,0
"74",2,6,0,0
"86",2,7,0.0332159033719175,0.00603925515853045
"98",2,8,4.55288707204905,0.910066428206438
"110",2,9,17.5166070516096,6.50945324476239
"122",2,10,31.2021494370522,15.6806550665302
"134",2,11,41.4458077709611,24.3583844580777
"146",2,12,46.8865610628513,28.9386816555953
"158",2,13,47.4320735444331,28.7895812053115
"170",2,14,42.4729038854806,24.3905930470348
"182",2,15,32.6915219611849,17.4887640449438
"194",2,16,19.6649642492339,8.58069458631256
"206",2,17,6.61593462717058,1.67466802860061
"218",2,18,0.0498740554156171,0.0110831234256927
"230",2,19,0,0
"242",2,20,0,0
"254",2,21,0,0
"266",2,22,0,0
"278",2,23,0,0
"3",3,0,0,0
"15",3,1,0,0
"27",3,2,0,0
"39",3,3,0,0
"51",3,4,0,0
"63",3,5,0,0
"75",3,6,0.0851160673645881,0.00955848884842968
"87",3,7,5.64730290456432,1.38174273858921
"99",3,8,20.7556477639465,9.92438911940987
"111",3,9,37.5384970032273,23.9824804057169
"123",3,10,51.7573800738007,39.0004612546125
"135",3,11,61.7163972286374,50.0872979214781
"147",3,12,66.4379326257499,56.0290724503922
"159",3,13,65.9949215143121,56.6920590951062
"171",3,14,61.0106039649608,50.6735822959889
"183",3,15,50.7074296262114,40.539916935856
"195",3,16,37.8233394833948,25.9935424354244
"207",3,17,22.3600737667128,11.5477178423237
"219",3,18,7.08160442600277,1.87229137851544
"231",3,19,0.106102003642987,0.011384335154827
"243",3,20,0,0
"255",3,21,0,0
"267",3,22,0,0
"279",3,23,0,0
"4",4,0,0,0
"16",4,1,0,0
"28",4,2,0,0
"40",4,3,0,0
"52",4,4,0,0
"64",4,5,0.0898823529411765,0.00752941176470588
"76",4,6,6.47898758357211,1.6189111747851
"88",4,7,22.5711556829035,12.0744985673352
"100",4,8,40.0496894409938,30.6602962255136
"112",4,9,56.297943567671,52.9120038259206
"124",4,10,68.719541328237,70.9507883420927
"136",4,11,77.605828953655,81.9378881987578
"148",4,12,82.0525812619503,85.7437858508604
"160",4,13,82.0544672718586,84.0597228858098
"172",4,14,77.8396946564885,76.0052480916031
"184",4,15,69.3940839694657,63.7208969465649
"196",4,16,56.6746183206107,47.5329198473282
"208",4,17,40.7350835322196,28.8167064439141
"220",4,18,23.2639618138425,11.6949880668258
"232",4,19,7.08826335877863,1.73139312977099
"244",4,20,0.0686735653809972,0.0117591721542803
"256",4,21,0,0
"268",4,22,0,0
"280",4,23,0,0
"5",5,0,0,0
"17",5,1,0,0
"29",5,2,0,0
