"","HOUR_IN_YEAR","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"1",1,0,0,0,0
"367",2,1,0,0,0
"733",3,2,0,0,0
"1099",4,3,0,0,0
"1465",5,4,0,0,0
"1831",6,5,0,0,0
"2197",7,6,0,0,0
"2563",8,7,0,0,0
"2929",9,8,0,0,0
"3295",10,9,3.14285714285714,0.342857142857143,3.48571428571429
"3661",11,10,13.0571428571429,1.48571428571429,14.5428571428571
"4027",12,11,22.2857142857143,6.04285714285714,28.3285714285714
"4393",13,12,27.3857142857143,8.11428571428571,35.5
"4759",14,13,26.8714285714286,8.84285714285714,35.7142857142857
"5125",15,14,23.0285714285714,5.9,28.9285714285714
"5491",16,15,13.5285714285714,2.64285714285714,16.1714285714286
"5857",17,16,3.51428571428571,0.428571428571429,3.94285714285714
"6223",18,17,0,0,0
"6589",19,18,0,0,0
"6955",20,19,0,0,0
"7321",21,20,0,0,0
"7687",22,21,0,0,0
"8053",23,22,0,0,0
"8419",24,23,0,0,0
"2",25,0,0,0,0
"368",26,1,0,0,0
"734",27,2,0,0,0
"1100",28,3,0,0,0
"1466",29,4,0,0,0
"1832",30,5,0,0,0
"2198",31,6,0,0,0
"2564",32,7,0,0,0
"2930",33,8,0,0,0
"3296",34,9,2.88571428571429,0.142857142857143,3.02857142857143
"3662",35,10,11.0857142857143,2.2,13.2857142857143
"4028",36,11,19.4,4.8,24.2
"4394",37,12,24.6285714285714,7.12857142857143,31.7571428571429
"4760",38,13,25.9714285714286,7.84285714285714,33.8142857142857
"5126",39,14,21.3857142857143,6.48571428571429,27.8714285714286
"5492",40,15,12.1714285714286,2.21428571428571,14.3857142857143
"5858",41,16,3.67142857142857,0.271428571428571,3.94285714285714
"6224",42,17,0,0,0
"6590",43,18,0,0,0
"6956",44,19,0,0,0
"7322",45,20,0,0,0
"7688",46,21,0,0,0
"8054",47,22,0,0,0
"8420",48,23,0,0,0
"3",49,0,0,0,0
"369",50,1,0,0,0
"735",51,2,0,0,0
"1101",52,3,0,0,0
"1467",53,4,0,0,0
"1833",54,5,0,0,0
"2199",55,6,0,0,0
"2565",56,7,0,0,0
"2931",57,8,0,0,0
"3297",58,9,3.98571428571429,0.471428571428571,4.45714285714286
"3663",59,10,13.2428571428571,4.64285714285714,17.8857142857143
"4029",60,11,22.3857142857143,8,30.3857142857143
"4395",61,12,26.3714285714286,10.4857142857143,36.8571428571429
"4761",62,13,27.4714285714286,10.5571428571429,38.0285714285714
"5127",63,14,21.8428571428571,9.07142857142857,30.9142857142857
"5493",64,15,14.3714285714286,4.28571428571429,18.6571428571429
"5859",65,16,4.08571428571429,0.528571428571429,4.61428571428571
"6225",66,17,0,0,0
"6591",67,18,0,0,0
"6957",68,19,0,0,0
"7323",69,20,0,0,0
"7689",70,21,0,0,0
"8055",71,22,0,0,0
"8421",72,23,0,0,0
"4",73,0,0,0,0
"370",74,1,0,0,0
"736",75,2,0,0,0
"1102",76,3,0,0,0
"1468",77,4,0,0,0
"1834",78,5,0,0,0
"2200",79,6,0,0,0
"2566",80,7,0,0,0
"2932",81,8,0,0,0
"3298",82,9,3.22857142857143,0.371428571428571,3.6
"3664",83,10,12.9,3.98571428571429,16.8857142857143
"4030",84,11,22.3285714285714,8.5,30.8285714285714
"4396",85,12,28.0571428571429,13.6857142857143,41.7428571428571
"4762",86,13,27.6142857142857,13.5571428571429,41.1714285714286
"5128",87,14,23.4571428571429,10.7714285714286,34.2285714285714
"5494",88,15,13.9857142857143,4.87142857142857,18.8571428571429
"5860",89,16,4.08571428571429,0.671428571428571,4.75714285714286
"6226",90,17,0,0,0
"6592",91,18,0,0,0
"6958",92,19,0,0,0
"7324",93,20,0,0,0
"7690",94,21,0,0,0
"8056",95,22,0,0,0
"8422",96,23,0,0,0
"5",97,0,0,0,0
"371",98,1,0,0,0
"737",99,2,0,0,0
"1103",100,3,0,0,0
"1469",101,4,0,0,0
"1835",102,5,0,0,0
"2201",103,6,0,0,0
"2567",104,7,0,0,0
"2933",105,8,0,0,0
"3299",106,9,3.88571428571429,0.657142857142857,4.54285714285714
"3665",107,10,14.4285714285714,4.72857142857143,19.1571428571429
"4031",108,11,23.7714285714286,11.3571428571429,35.1285714285714
"4397",109,12,27.7428571428571,14.7,42.4428571428571
"4763",110,13,27.5571428571429,15.0142857142857,42.5714285714286
"5129",111,14,22.9142857142857,10.1,33.0142857142857
"5495",112,15,13.5714285714286,4.75714285714286,18.3285714285714
"5861",113,16,4.35714285714286,0.771428571428571,5.12857142857143
"6227",114,17,0,0,0
"6593",115,18,0,0,0
"6959",116,19,0,0,0
"7325",117,20,0,0,0
"7691",118,21,0,0,0
"8057",119,22,0,0,0
"8423",120,23,0,0,0
"6",121,0,0,0,0
"372",122,1,0,0,0
"738",123,2,0,0,0
"1104",124,3,0,0,0
"1470",125,4,0,0,0
"1836",126,5,0,0,0
"2202",127,6,0,0,0
"2568",128,7,0,0,0
"2934",129,8,0,0,0
"3300",130,9,2.92857142857143,0.414285714285714,3.34285714285714
"3666",131,10,11.6857142857143,1.9,13.5857142857143
"4032",132,11,20.9142857142857,5.45714285714286,26.3714285714286
"4398",133,12,25.6142857142857,6.88571428571429,32.5
"4764",134,13,26.1714285714286,7.91428571428571,34.0857142857143
