"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"1",1,1,0,0,0,0
"376",2,1,1,0,0,0
"751",3,1,2,0,0,0
"1126",4,1,3,0,0,0
"1501",5,1,4,0,0,0
"1876",6,1,5,0,0,0
"2251",7,1,6,0,0,0
"2626",8,1,7,0,0,0
"3001",9,1,8,0,0,0
"3376",10,1,9,3.14285714285714,0.342857142857143,3.48571428571429
"3751",11,1,10,13.0571428571429,1.48571428571429,14.5428571428571
"4126",12,1,11,22.2857142857143,6.04285714285714,28.3285714285714
"4501",13,1,12,27.3857142857143,8.11428571428571,35.5
"4876",14,1,13,26.8714285714286,8.84285714285714,35.7142857142857
"5251",15,1,14,23.0285714285714,5.9,28.9285714285714
"5626",16,1,15,13.5285714285714,2.64285714285714,16.1714285714286
"6001",17,1,16,3.51428571428571,0.428571428571429,3.94285714285714
"6376",18,1,17,0,0,0
"6751",19,1,18,0,0,0
"7126",20,1,19,0,0,0
"7501",21,1,20,0,0,0
"7876",22,1,21,0,0,0
"8251",23,1,22,0,0,0
"8626",24,1,23,0,0,0
"2",25,1,0,0,0,0
"377",26,1,1,0,0,0
"752",27,1,2,0,0,0
"1127",28,1,3,0,0,0
"1502",29,1,4,0,0,0
"1877",30,1,5,0,0,0
"2252",31,1,6,0,0,0
"2627",32,1,7,0,0,0
"3002",33,1,8,0,0,0
"3377",34,1,9,2.88571428571429,0.142857142857143,3.02857142857143
"3752",35,1,10,11.0857142857143,2.2,13.2857142857143
"4127",36,1,11,19.4,4.8,24.2
"4502",37,1,12,24.6285714285714,7.12857142857143,31.7571428571429
"4877",38,1,13,25.9714285714286,7.84285714285714,33.8142857142857
"5252",39,1,14,21.3857142857143,6.48571428571429,27.8714285714286
"5627",40,1,15,12.1714285714286,2.21428571428571,14.3857142857143
"6002",41,1,16,3.67142857142857,0.271428571428571,3.94285714285714
"6377",42,1,17,0,0,0
"6752",43,1,18,0,0,0
"7127",44,1,19,0,0,0
"7502",45,1,20,0,0,0
"7877",46,1,21,0,0,0
"8252",47,1,22,0,0,0
"8627",48,1,23,0,0,0
"3",49,1,0,0,0,0
"378",50,1,1,0,0,0
"753",51,1,2,0,0,0
"1128",52,1,3,0,0,0
"1503",53,1,4,0,0,0
"1878",54,1,5,0,0,0
"2253",55,1,6,0,0,0
"2628",56,1,7,0,0,0
"3003",57,1,8,0,0,0
"3378",58,1,9,3.98571428571429,0.471428571428571,4.45714285714286
"3753",59,1,10,13.2428571428571,4.64285714285714,17.8857142857143
"4128",60,1,11,22.3857142857143,8,30.3857142857143
"4503",61,1,12,26.3714285714286,10.4857142857143,36.8571428571429
"4878",62,1,13,27.4714285714286,10.5571428571429,38.0285714285714
"5253",63,1,14,21.8428571428571,9.07142857142857,30.9142857142857
"5628",64,1,15,14.3714285714286,4.28571428571429,18.6571428571429
"6003",65,1,16,4.08571428571429,0.528571428571429,4.61428571428571
"6378",66,1,17,0,0,0
"6753",67,1,18,0,0,0
"7128",68,1,19,0,0,0
"7503",69,1,20,0,0,0
"7878",70,1,21,0,0,0
"8253",71,1,22,0,0,0
"8628",72,1,23,0,0,0
"4",73,1,0,0,0,0
"379",74,1,1,0,0,0
"754",75,1,2,0,0,0
"1129",76,1,3,0,0,0
"1504",77,1,4,0,0,0
"1879",78,1,5,0,0,0
"2254",79,1,6,0,0,0
"2629",80,1,7,0,0,0
"3004",81,1,8,0,0,0
"3379",82,1,9,3.22857142857143,0.371428571428571,3.6
"3754",83,1,10,12.9,3.98571428571429,16.8857142857143
"4129",84,1,11,22.3285714285714,8.5,30.8285714285714
"4504",85,1,12,28.0571428571429,13.6857142857143,41.7428571428571
"4879",86,1,13,27.6142857142857,13.5571428571429,41.1714285714286
"5254",87,1,14,23.4571428571429,10.7714285714286,34.2285714285714
"5629",88,1,15,13.9857142857143,4.87142857142857,18.8571428571429
"6004",89,1,16,4.08571428571429,0.671428571428571,4.75714285714286
"6379",90,1,17,0,0,0
"6754",91,1,18,0,0,0
"7129",92,1,19,0,0,0
"7504",93,1,20,0,0,0
"7879",94,1,21,0,0,0
"8254",95,1,22,0,0,0
"8629",96,1,23,0,0,0
"5",97,1,0,0,0,0
"380",98,1,1,0,0,0
"755",99,1,2,0,0,0
"1130",100,1,3,0,0,0
"1505",101,1,4,0,0,0
"1880",102,1,5,0,0,0
"2255",103,1,6,0,0,0
"2630",104,1,7,0,0,0
"3005",105,1,8,0,0,0
"3380",106,1,9,3.88571428571429,0.657142857142857,4.54285714285714
"3755",107,1,10,14.4285714285714,4.72857142857143,19.1571428571429
"4130",108,1,11,23.7714285714286,11.3571428571429,35.1285714285714
"4505",109,1,12,27.7428571428571,14.7,42.4428571428571
"4880",110,1,13,27.5571428571429,15.0142857142857,42.5714285714286
"5255",111,1,14,22.9142857142857,10.1,33.0142857142857
"5630",112,1,15,13.5714285714286,4.75714285714286,18.3285714285714
"6005",113,1,16,4.35714285714286,0.771428571428571,5.12857142857143
"6380",114,1,17,0,0,0
"6755",115,1,18,0,0,0
"7130",116,1,19,0,0,0
"7505",117,1,20,0,0,0
"7880",118,1,21,0,0,0
"8255",119,1,22,0,0,0
"8630",120,1,23,0,0,0
"6",121,1,0,0,0,0
"381",122,1,1,0,0,0
"756",123,1,2,0,0,0
"1131",124,1,3,0,0,0
"1506",125,1,4,0,0,0
"1881",126,1,5,0,0,0
"2256",127,1,6,0,0,0
"2631",128,1,7,0,0,0
"3006",129,1,8,0,0,0
"3381",130,1,9,2.92857142857143,0.414285714285714,3.34285714285714
"3756",131,1,10,11.6857142857143,1.9,13.5857142857143
"4131",132,1,11,20.9142857142857,5.45714285714286,26.3714285714286
"4506",133,1,12,25.6142857142857,6.88571428571429,32.5
"4881",134,1,13,26.1714285714286,7.91428571428571,34.0857142857143
"5256",135,1,14,22.4,7.1,29.5
"5631",136,1,15,14,3.2,17.2
"6006",137,1,16,4.2,0.557142857142857,4.75714285714286
"6381",138,1,17,0,0,0
"6756",139,1,18,0,0,0
"7131",140,1,19,0,0,0
"7506",141,1,20,0,0,0
"7881",142,1,21,0,0,0
"8256",143,1,22,0,0,0
"8631",144,1,23,0,0,0
"7",145,1,0,0,0,0
"382",146,1,1,0,0,0
"757",147,1,2,0,0,0
"1132",148,1,3,0,0,0
"1507",149,1,4,0,0,0
"1882",150,1,5,0,0,0
"2257",151,1,6,0,0,0
"2632",152,1,7,0,0,0
"3007",153,1,8,0,0,0
"3382",154,1,9,2.95714285714286,0.271428571428571,3.22857142857143
"3757",155,1,10,12.5428571428571,1.64285714285714,14.1857142857143
"4132",156,1,11,21.0285714285714,4.2,25.2285714285714
"4507",157,1,12,26.3142857142857,6.9,33.2142857142857
"4882",158,1,13,26.1857142857143,7.38571428571429,33.5714285714286
"5257",159,1,14,22.5,5.11428571428571,27.6142857142857
"5632",160,1,15,14.8,2.78571428571429,17.5857142857143
"6007",161,1,16,4.54285714285714,0.585714285714286,5.12857142857143
"6382",162,1,17,0,0,0
"6757",163,1,18,0,0,0
"7132",164,1,19,0,0,0
"7507",165,1,20,0,0,0
"7882",166,1,21,0,0,0
"8257",167,1,22,0,0,0
"8632",168,1,23,0,0,0
"8",169,1,0,0,0,0
"383",170,1,1,0,0,0
"758",171,1,2,0,0,0
"1133",172,1,3,0,0,0
"1508",173,1,4,0,0,0
"1883",174,1,5,0,0,0
"2258",175,1,6,0,0,0
"2633",176,1,7,0,0,0
"3008",177,1,8,0,0,0
"3383",178,1,9,3.62857142857143,0.314285714285714,3.94285714285714
"3758",179,1,10,13.5,2.55714285714286,16.0571428571429
"4133",180,1,11,22.8142857142857,6.15714285714286,28.9714285714286
"4508",181,1,12,27.5,7.22857142857143,34.7285714285714
"4883",182,1,13,27.3623188405797,9.1304347826087,36.4927536231884
"5258",183,1,14,23.4857142857143,5.61428571428571,29.1
"5633",184,1,15,15.2,3.37142857142857,18.5714285714286
"6008",185,1,16,5.3,0.457142857142857,5.75714285714286
"6383",186,1,17,0,0,0
"6758",187,1,18,0,0,0
"7133",188,1,19,0,0,0
"7508",189,1,20,0,0,0
"7883",190,1,21,0,0,0
"8258",191,1,22,0,0,0
"8633",192,1,23,0,0,0
"9",193,1,0,0,0,0
"384",194,1,1,0,0,0
"759",195,1,2,0,0,0
"1134",196,1,3,0,0,0
"1509",197,1,4,0,0,0
"1884",198,1,5,0,0,0
"2259",199,1,6,0,0,0
"2634",200,1,7,0,0,0
"3009",201,1,8,0,0,0
"3384",202,1,9,3.94285714285714,0.357142857142857,4.3
"3759",203,1,10,12.8571428571429,2.31428571428571,15.1714285714286
