"";"MONTH";"HOUR_IN_DAY";"DIFFUSED";"DIRECT"
"1";0;0;0;0
"13";0;1;0;0
"25";0;2;0;0
"37";0;3;0;0
"49";0;4;0;0
"61";0;5;0;0
"73";0;6;0;0
"85";0;7;0;0
"97";0;8;0,115261958997722;0,0123006833712984
"109";0;9;5,57076994006455;0,91701244813278
"121";0;10;16,2547300415321;4,85832948777111
"133";0;11;25,6323800738007;10,2472324723247
"145";0;12;30,609778597786;14,0567343173432
"157";0;13;30,9114391143911;14,4806273062731
"169";0;14;26,2085832948777;11,3645592985695
"181";0;15;17,6337638376384;6,26522140221402
"193";0;16;6,98939114391144;1,54658671586716
"205";0;17;0,238942088463292;0,032375740994072
"217";0;18;0;0
"229";0;19;0;0
"241";0;20;0;0
"253";0;21;0;0
"265";0;22;0;0
"277";0;23;0;0
"2";1;0;0;0
"14";1;1;0;0
"26";1;2;0;0
"38";1;3;0;0
"50";1;4;0;0
"62";1;5;0;0
"74";1;6;0;0
"86";1;7;0,0354114713216958;0,00598503740648379
"98";1;8;4,59848101265823;0,908860759493671
"110";1;9;17,5837974683544;6,48506329113924
"122";1;10;31,2844827586207;15,6460446247464
"134";1;11;41,5293819655522;24,2953394123607
"146";1;12;46,9296202531646;28,9569620253165
"158";1;13;47,5501012145749;28,752024291498
"170";1;14;42,5901722391084;24,3135764944276
"182";1;15;32,7935222672065;17,4256072874494
"194";1;16;19,7363360323887;8,54908906882591
"206";1;17;6,66902834008097;1,67206477732794
"218";1;18;0,0569146280579131;0,0109835247129306
"230";1;19;0;0
"242";1;20;0;0
"254";1;21;0;0
"266";1;22;0;0
"278";1;23;0;0
"3";2;0;0;0
"15";2;1;0;0
"27";2;2;0;0
"39";2;3;0;0
"51";2;4;0;0
"63";2;5;0;0
"75";2;6;0,0851160673645881;0,00955848884842968
"87";2;7;5,64730290456432;1,38174273858921
"99";2;8;20,7556477639465;9,92438911940987
"111";2;9;37,5384970032273;23,9824804057169
"123";2;10;51,7573800738007;39,0004612546125
"135";2;11;61,7163972286374;50,0872979214781
"147";2;12;66,4379326257499;56,0290724503922
"159";2;13;65,9949215143121;56,6920590951062
"171";2;14;61,0106039649608;50,6735822959889
"183";2;15;50,7074296262114;40,539916935856
"195";2;16;37,8233394833948;25,9935424354244
"207";2;17;22,3600737667128;11,5477178423237
"219";2;18;7,08160442600277;1,87229137851544
"231";2;19;0,106102003642987;0,011384335154827
"243";2;20;0;0
"255";2;21;0;0
"267";2;22;0;0
"279";2;23;0;0
"4";3;0;0;0
"16";3;1;0;0
"28";3;2;0;0
"40";3;3;0;0
"52";3;4;0;0
"64";3;5;0,0898823529411765;0,00752941176470588
"76";3;6;6,47898758357211;1,6189111747851
"88";3;7;22,5711556829035;12,0744985673352
"100";3;8;40,0496894409938;30,6602962255136
"112";3;9;56,297943567671;52,9120038259206
"124";3;10;68,719541328237;70,9507883420927
"136";3;11;77,605828953655;81,9378881987578
"148";3;12;82,0525812619503;85,7437858508604
"160";3;13;82,0544672718586;84,0597228858098
"172";3;14;77,8396946564885;76,0052480916031
"184";3;15;69,3940839694657;63,7208969465649
"196";3;16;56,6746183206107;47,5329198473282
"208";3;17;40,7350835322196;28,8167064439141
"220";3;18;23,2639618138425;11,6949880668258
"232";3;19;7,08826335877863;1,73139312977099
"244";3;20;0,0686735653809972;0,0117591721542803
"256";3;21;0;0
"268";3;22;0;0
"280";3;23;0;0
"5";4;0;0;0
"17";4;1;0;0
"29";4;2;0;0
"41";4;3;0;0
"53";4;4;0,00908677873693776;0,00181735574738755
"65";4;5;4,58812529219261;0,958391771856007
"77";4;6;19,7170252572498;9,75958840037418
"89";4;7;36,9340196537202;28,5989705194197
"101";4;8;52,9003275620028;53,4150678521292
"113";4;9;67,1095505617977;76,8192883895131
"125";4;10;79,231850117096;96,5878220140515
"137";4;11;88,7044172932331;106,037593984962
"149";4;12;93,3889934148636;107,336782690499
"161";4;13;93,4535211267606;102,281220657277
"173";4;14;89,2224824355972;93,4819672131148
"185";4;15;80,4962581852198;79,2572497661366
"197";4;16;68,5425631431244;62,3376987839102
"209";4;17;52,9130028063611;43,8685687558466
"221";4;18;35,5839177185601;24,6030855539972
"233";4;19;18,9995320542817;8,93261581656528
"245";4;20;4,46002805049088;0,946236559139785
"257";4;21;0,00227169468423444;0,000908677873693776
"269";4;22;0;0
"281";4;23;0;0
"6";5;0;0;0
"18";5;1;0;0
"30";5;2;0;0
"42";5;3;0;0
"54";5;4;0,364672364672365;0,0460588793922127
"66";5;5;9,54718779790277;2,60343183984747
